Дата;Артикул;Наименование;Тип;Количество;Комментарий
2026-09-02;CARGO-24;Канат грузовой 24мм;Приход;59;Производство (плетение)
2026-09-02;CARGO-20;Канат грузовой 20мм;Приход;102;Производство (плетение)
2026-09-02;CARGO-16;Канат грузовой 16мм;Продажа;-107;Отгрузка клиенту
2026-09-02;CARGO-16;Канат грузовой 16мм;Приход;146;Производство (плетение)
2026-09-02;FENCE-10;Канат ограждающий 10мм;Продажа;-92;Отгрузка клиенту
2026-09-02;FENCE-10;Канат ограждающий 10мм;Приход;180;Производство (плетение)
2026-09-02;FENCE-8;Канат ограждающий 8мм;Продажа;-226;Отгрузка клиенту
2026-09-02;FENCE-8;Канат ограждающий 8мм;Приход;292;Производство (плетение)
2026-09-02;FENCE-6;Канат ограждающий 6мм;Приход;337;Производство (плетение)
2026-09-02;CABLE-8;Трос-лидер 8мм;Приход;116;Производство (плетение)
2026-09-02;CABLE-6;Канат для протяжки кабеля 6мм;Приход;182;Производство (плетение)
2026-09-02;CABLE-4;Канат для протяжки кабеля 4мм;Продажа;-216;Отгрузка клиенту
2026-09-02;CABLE-4;Канат для протяжки кабеля 4мм;Приход;291;Производство (плетение)
2026-09-02;LEER-8;Леер для лодок 8мм;Продажа;-113;Отгрузка клиенту
2026-09-02;LEER-8;Леер для лодок 8мм;Приход;107;Производство (плетение)
2026-09-02;LEER-6;Леер для лодок 6мм;Продажа;-104;Отгрузка клиенту
2026-09-02;LEER-6;Леер для лодок 6мм;Приход;166;Производство (плетение)
2026-09-02;LEER-5;Леер для лодок 5мм;Продажа;-194;Отгрузка клиенту
2026-09-02;LEER-5;Леер для лодок 5мм;Приход;211;Производство (плетение)
2026-09-02;YAHT-12;Канат яхтенный 12мм;Продажа;-84;Отгрузка клиенту
2026-09-02;YAHT-12;Канат яхтенный 12мм;Приход;96;Производство (плетение)
2026-09-02;YAHT-10;Канат яхтенный (фалы) 10мм;Приход;172;Производство (плетение)
2026-09-02;YAHT-8;Канат яхтенный 8мм;Продажа;-124;Отгрузка клиенту
2026-09-02;YAHT-8;Канат яхтенный 8мм;Приход;187;Производство (плетение)
2026-09-02;YAHT-6;Канат яхтенный (шкоты) 6мм;Продажа;-125;Отгрузка клиенту
2026-09-02;YAHT-6;Канат яхтенный (шкоты) 6мм;Приход;277;Производство (плетение)
2026-09-02;FISH-3;Шнур рыболовный 3мм;Продажа;-201;Отгрузка клиенту
2026-09-02;FISH-3;Шнур рыболовный 3мм;Приход;277;Производство (плетение)
2026-09-02;FISH-25;Шнур рыболовный 2.5мм;Продажа;-429;Отгрузка клиенту
2026-09-02;FISH-25;Шнур рыболовный 2.5мм;Приход;404;Производство (плетение)
2026-09-02;FISH-18;Шнур рыболовный (throwline) 1.8мм;Продажа;-305;Отгрузка клиенту
2026-09-02;FISH-18;Шнур рыболовный (throwline) 1.8мм;Приход;620;Производство (плетение)
2026-09-02;GLS-10;Шнур стеклянный 10мм;Продажа;-41;Отгрузка клиенту
2026-09-02;GLS-10;Шнур стеклянный 10мм;Приход;72;Производство (плетение)
2026-09-02;GLS-8;Шнур стеклянный 8мм;Приход;95;Производство (плетение)
2026-09-02;GLS-6;Шнур стеклянный 6мм;Продажа;-106;Отгрузка клиенту
2026-09-02;GLS-6;Шнур стеклянный 6мм;Приход;112;Производство (плетение)
2026-09-02;GLS-4;Шнур стеклянный 4мм;Продажа;-121;Отгрузка клиенту
2026-09-02;GLS-4;Шнур стеклянный 4мм;Приход;124;Производство (плетение)
2026-09-02;BAS-12;Шнур базальтовый 12мм;Продажа;-74;Отгрузка клиенту
2026-09-02;BAS-12;Шнур базальтовый 12мм;Приход;81;Производство (плетение)
2026-09-02;BAS-10;Шнур базальтовый 10мм (сердечник);Продажа;-67;Отгрузка клиенту
2026-09-02;BAS-10;Шнур базальтовый 10мм (сердечник);Приход;93;Производство (плетение)
2026-09-02;BAS-8;Шнур базальтовый 8мм (сердечник);Продажа;-114;Отгрузка клиенту
2026-09-02;BAS-8;Шнур базальтовый 8мм (сердечник);Приход;130;Производство (плетение)
2026-09-02;BAS-6;Шнур базальтовый 6мм (до 500°C);Приход;125;Производство (плетение)
2026-09-02;SIL-18;Шнур кремнеземный 18мм;Продажа;-26;Отгрузка клиенту
2026-09-02;SIL-18;Шнур кремнеземный 18мм;Приход;30;Производство (плетение)
2026-09-02;SIL-16;Шнур кремнеземный 16мм;Продажа;-48;Отгрузка клиенту
2026-09-02;SIL-16;Шнур кремнеземный 16мм;Приход;43;Производство (плетение)
2026-09-02;SIL-14;Шнур кремнеземный 14мм;Продажа;-43;Отгрузка клиенту
2026-09-02;SIL-14;Шнур кремнеземный 14мм;Приход;68;Производство (плетение)
2026-09-02;SIL-12;Шнур кремнеземный 12мм;Продажа;-45;Отгрузка клиенту
2026-09-02;SIL-12;Шнур кремнеземный 12мм;Приход;87;Производство (плетение)
2026-09-02;SIL-10;Шнур кремнеземный 10мм;Продажа;-67;Отгрузка клиенту
2026-09-02;SIL-10;Шнур кремнеземный 10мм;Приход;112;Производство (плетение)
2026-09-02;SIL-8;Шнур кремнеземный 8мм;Продажа;-81;Отгрузка клиенту
2026-09-02;SIL-8;Шнур кремнеземный 8мм;Приход;114;Производство (плетение)
2026-09-02;SIL-6;Шнур кремнеземный 6мм;Приход;135;Производство (плетение)
2026-09-02;SIL-4;Шнур кремнеземный 4мм;Продажа;-144;Отгрузка клиенту
2026-09-02;SIL-4;Шнур кремнеземный 4мм;Приход;153;Производство (плетение)
2026-09-02;PE-10;Канат полиэтиленовый 10мм;Продажа;-177;Отгрузка клиенту
2026-09-02;PE-10;Канат полиэтиленовый 10мм;Приход;204;Производство (плетение)
2026-09-02;PE-8;Канат полиэтиленовый 8мм;Продажа;-199;Отгрузка клиенту
2026-09-02;PE-8;Канат полиэтиленовый 8мм;Приход;264;Производство (плетение)
2026-09-02;PE-6;Канат полиэтиленовый 6мм;Приход;308;Производство (плетение)
2026-09-02;PP-40;Канат ПП 40мм (48-прядный);Приход;24;Производство (плетение)
2026-09-02;PP-32;Канат ПП 32мм (48-прядный);Продажа;-40;Отгрузка клиенту
2026-09-02;PP-32;Канат ПП 32мм (48-прядный);Приход;41;Производство (плетение)
2026-09-02;PP-24;Канат ПП 24мм (48-прядный);Продажа;-48;Отгрузка клиенту
2026-09-02;PP-24;Канат ПП 24мм (48-прядный);Приход;89;Производство (плетение)
2026-09-02;PP-20;Канат ПП 20мм (32-прядный);Продажа;-90;Отгрузка клиенту
2026-09-02;PP-20;Канат ПП 20мм (32-прядный);Приход;112;Производство (плетение)
2026-09-02;PP-16;Канат ПП 16мм (24-прядный);Продажа;-173;Отгрузка клиенту
2026-09-02;PP-16;Канат ПП 16мм (24-прядный);Приход;180;Производство (плетение)
2026-09-02;PP-12;Канат ПП 12мм (16-прядный);Приход;288;Производство (плетение)
2026-09-02;PP-10;Канат ПП 10мм (12-прядный);Продажа;-377;Отгрузка клиенту
2026-09-02;PP-10;Канат ПП 10мм (12-прядный);Приход;345;Производство (плетение)
2026-09-02;PP-8;Канат ПП 8мм (8-прядный);Продажа;-389;Отгрузка клиенту
2026-09-02;PP-8;Канат ПП 8мм (8-прядный);Приход;420;Производство (плетение)
2026-09-02;PA-16;Канат полиамидный 16мм;Продажа;-105;Отгрузка клиенту
2026-09-02;PA-16;Канат полиамидный 16мм;Приход;127;Производство (плетение)
2026-09-02;PA-14;Канат полиамидный 14мм;Продажа;-175;Отгрузка клиенту
2026-09-02;PA-14;Канат полиамидный 14мм;Приход;189;Производство (плетение)
2026-09-02;PA-12;Канат полиамидный 12мм;Продажа;-237;Отгрузка клиенту
2026-09-02;PA-12;Канат полиамидный 12мм;Приход;241;Производство (плетение)
2026-09-02;PA-10;Канат полиамидный 10мм;Приход;284;Производство (плетение)
2026-09-02;PA-8;Канат полиамидный 8мм;Продажа;-404;Отгрузка клиенту
2026-09-02;PA-8;Канат полиамидный 8мм;Приход;361;Производство (плетение)
2026-09-02;PA-6;Канат полиамидный 6мм;Продажа;-493;Отгрузка клиенту
2026-09-02;PA-6;Канат полиамидный 6мм;Приход;517;Производство (плетение)
2026-09-02;PA-4;Канат полиамидный 4мм;Продажа;-437;Отгрузка клиенту
2026-09-02;PA-4;Канат полиамидный 4мм;Приход;482;Производство (плетение)
2026-09-02;LS-16;Канат низкорастяжимый 16мм;Продажа;-51;Отгрузка клиенту
2026-09-02;LS-16;Канат низкорастяжимый 16мм;Приход;75;Производство (плетение)
2026-09-02;LS-14;Канат низкорастяжимый 14мм;Продажа;-89;Отгрузка клиенту
2026-09-02;LS-14;Канат низкорастяжимый 14мм;Приход;93;Производство (плетение)
2026-09-02;LS-12;Канат низкорастяжимый 12мм;Продажа;-85;Отгрузка клиенту
2026-09-02;LS-12;Канат низкорастяжимый 12мм;Приход;111;Производство (плетение)
2026-09-02;LS-10;Канат низкорастяжимый 10мм;Продажа;-131;Отгрузка клиенту
2026-09-02;LS-10;Канат низкорастяжимый 10мм;Приход;172;Производство (плетение)
2026-09-02;HMPE-12;Канат HMPE 12мм;Продажа;-31;Отгрузка клиенту
2026-09-02;HMPE-12;Канат HMPE 12мм;Приход;47;Производство (плетение)
2026-09-02;HMPE-10;Канат HMPE 10мм;Продажа;-80;Отгрузка клиенту
2026-09-02;HMPE-10;Канат HMPE 10мм;Приход;80;Производство (плетение)
2026-09-02;HMPE-8;Канат HMPE 8мм;Продажа;-117;Отгрузка клиенту
2026-09-02;HMPE-8;Канат HMPE 8мм;Приход;118;Производство (плетение)
2026-09-02;HMPE-6;Канат HMPE 6мм;Продажа;-232;Отгрузка клиенту
2026-09-02;HMPE-6;Канат HMPE 6мм;Приход;195;Производство (плетение)
2026-09-02;HMPE-4;Канат HMPE 4мм;Приход;311;Производство (плетение)
2026-09-02;HMPE-3;Канат HMPE 3мм;Продажа;-388;Отгрузка клиенту
2026-09-02;HMPE-3;Канат HMPE 3мм;Приход;412;Производство (плетение)
2026-09-02;HMPE-2;Канат HMPE 2мм;Продажа;-402;Отгрузка клиенту
2026-09-02;HMPE-2;Канат HMPE 2мм;Приход;396;Производство (плетение)
2026-09-02;ARAM-6;Шнур арамидный 6мм;Продажа;-115;Отгрузка клиенту
2026-09-02;ARAM-6;Шнур арамидный 6мм;Приход;167;Производство (плетение)
2026-09-02;ARAM-4;Шнур арамидный 4мм;Приход;209;Производство (плетение)
2026-09-02;REP-8;Репшнур 8мм (ПА);Продажа;-160;Отгрузка клиенту
2026-09-02;REP-8;Репшнур 8мм (ПА);Приход;190;Производство (плетение)
2026-09-02;REP-7;Репшнур 7мм (арамид);Приход;175;Производство (плетение)
2026-09-02;REP-6;Репшнур 6мм (ПА);Продажа;-308;Отгрузка клиенту
2026-09-02;REP-6;Репшнур 6мм (ПА);Приход;395;Производство (плетение)
2026-09-02;REP-4;Репшнур 4мм (ПА);Продажа;-330;Отгрузка клиенту
2026-09-02;REP-4;Репшнур 4мм (ПА);Приход;346;Производство (плетение)
2026-09-02;DYN-105;Верёвка динамическая 10.5мм;Продажа;-31;Отгрузка клиенту
2026-09-02;DYN-105;Верёвка динамическая 10.5мм;Приход;57;Производство (плетение)
2026-09-02;DYN-98;Верёвка динамическая 9.8мм;Продажа;-40;Отгрузка клиенту
2026-09-02;DYN-98;Верёвка динамическая 9.8мм;Приход;67;Производство (плетение)
2026-09-02;STAT-12;Верёвка статическая 12мм;Приход;83;Производство (плетение)
2026-09-02;STAT-11;Верёвка статическая 11мм;Продажа;-138;Отгрузка клиенту
2026-09-02;STAT-11;Верёвка статическая 11мм;Приход;134;Производство (плетение)
2026-09-02;STAT-105;Верёвка статическая 10.5мм;Продажа;-82;Отгрузка клиенту
2026-09-02;STAT-105;Верёвка статическая 10.5мм;Приход;143;Производство (плетение)
2026-09-02;STAT-10;Верёвка статическая 10мм;Продажа;-220;Отгрузка клиенту
2026-09-02;STAT-10;Верёвка статическая 10мм;Приход;210;Производство (плетение)
2026-09-02;STAT-9;Верёвка статическая 9мм (ПЭС оплётка);Продажа;-93;Отгрузка клиенту
2026-09-02;STAT-9;Верёвка статическая 9мм (ПЭС оплётка);Приход;125;Производство (плетение)
2026-09-02;TAPE-PK;Скотч упаковочный;Расход;-26.5;Расход в производство
2026-09-02;PKG-BOX;Коробки картонные;Расход;-35.8;Расход в производство
2026-09-02;PKG-STR;Стрейч-плёнка;Расход;-12.7;Расход в производство
2026-09-02;SPOOL-L;Катушки большие (упаков. верёвки);Расход;-13.5;Расход в производство
2026-09-02;GLS-R;Ровинг стеклянный;Расход;-33.8;Расход в производство
2026-09-02;BAS-R;Ровинг базальтовый;Расход;-23.9;Расход в производство
2026-09-02;SIL-F;Волокно кремнеземное;Расход;-18.4;Расход в производство
2026-09-02;ARAM-F;Нить арамидная (Русар);Расход;-11.4;Расход в производство
2026-09-02;HMPE-F;Волокно HMPE (Dyneema SK78);Расход;-15.6;Расход в производство
2026-09-01;PACK-10;Верёвка упакованная 10мм (бухты);Приход;360;Производство (плетение)
2026-09-01;HORSE-10;Шнур конный спорт 10мм;Продажа;-67;Отгрузка клиенту
2026-09-01;HORSE-10;Шнур конный спорт 10мм;Приход;133;Производство (плетение)
2026-09-01;HORSE-8;Шнур конный спорт 8мм;Продажа;-141;Отгрузка клиенту
2026-09-01;HORSE-8;Шнур конный спорт 8мм;Приход;143;Производство (плетение)
2026-09-01;BANNER-4;Шнур баннерный 4мм;Приход;405;Производство (плетение)
2026-09-01;BANNER-3;Шнур баннерный 3мм;Приход;537;Производство (плетение)
2026-09-01;BAG-5;Шнур для пакетов 5мм;Продажа;-379;Отгрузка клиенту
2026-09-01;BAG-5;Шнур для пакетов 5мм;Приход;701;Производство (плетение)
2026-09-01;BAG-4;Шнур для пакетов 4мм;Продажа;-903;Отгрузка клиенту
2026-09-01;BAG-4;Шнур для пакетов 4мм;Приход;814;Производство (плетение)
2026-09-01;CARGO-24;Канат грузовой 24мм;Продажа;-44;Отгрузка клиенту
2026-09-01;CARGO-24;Канат грузовой 24мм;Приход;58;Производство (плетение)
2026-09-01;CARGO-20;Канат грузовой 20мм;Продажа;-66;Отгрузка клиенту
2026-09-01;CARGO-20;Канат грузовой 20мм;Приход;111;Производство (плетение)
2026-09-01;CARGO-16;Канат грузовой 16мм;Продажа;-109;Отгрузка клиенту
2026-09-01;CARGO-16;Канат грузовой 16мм;Приход;174;Производство (плетение)
2026-09-01;FENCE-10;Канат ограждающий 10мм;Продажа;-142;Отгрузка клиенту
2026-09-01;FENCE-10;Канат ограждающий 10мм;Приход;165;Производство (плетение)
2026-09-01;FENCE-8;Канат ограждающий 8мм;Продажа;-164;Отгрузка клиенту
2026-09-01;FENCE-8;Канат ограждающий 8мм;Приход;280;Производство (плетение)
2026-09-01;FENCE-6;Канат ограждающий 6мм;Продажа;-204;Отгрузка клиенту
2026-09-01;FENCE-6;Канат ограждающий 6мм;Приход;286;Производство (плетение)
2026-09-01;CABLE-8;Трос-лидер 8мм;Продажа;-85;Отгрузка клиенту
2026-09-01;CABLE-8;Трос-лидер 8мм;Приход;132;Производство (плетение)
2026-09-01;CABLE-6;Канат для протяжки кабеля 6мм;Приход;167;Производство (плетение)
2026-09-01;CABLE-4;Канат для протяжки кабеля 4мм;Продажа;-128;Отгрузка клиенту
2026-09-01;CABLE-4;Канат для протяжки кабеля 4мм;Приход;241;Производство (плетение)
2026-09-01;LEER-8;Леер для лодок 8мм;Продажа;-96;Отгрузка клиенту
2026-09-01;LEER-8;Леер для лодок 8мм;Приход;105;Производство (плетение)
2026-09-01;LEER-6;Леер для лодок 6мм;Продажа;-174;Отгрузка клиенту
2026-09-01;LEER-6;Леер для лодок 6мм;Приход;168;Производство (плетение)
2026-09-01;LEER-5;Леер для лодок 5мм;Приход;234;Производство (плетение)
2026-09-01;YAHT-12;Канат яхтенный 12мм;Приход;115;Производство (плетение)
2026-09-01;YAHT-10;Канат яхтенный (фалы) 10мм;Приход;141;Производство (плетение)
2026-09-01;YAHT-8;Канат яхтенный 8мм;Продажа;-203;Отгрузка клиенту
2026-09-01;YAHT-8;Канат яхтенный 8мм;Приход;204;Производство (плетение)
2026-09-01;YAHT-6;Канат яхтенный (шкоты) 6мм;Продажа;-269;Отгрузка клиенту
2026-09-01;YAHT-6;Канат яхтенный (шкоты) 6мм;Приход;244;Производство (плетение)
2026-09-01;FISH-3;Шнур рыболовный 3мм;Приход;351;Производство (плетение)
2026-09-01;FISH-25;Шнур рыболовный 2.5мм;Продажа;-358;Отгрузка клиенту
2026-09-01;FISH-25;Шнур рыболовный 2.5мм;Приход;427;Производство (плетение)
2026-09-01;FISH-18;Шнур рыболовный (throwline) 1.8мм;Приход;640;Производство (плетение)
2026-09-01;GLS-10;Шнур стеклянный 10мм;Продажа;-66;Отгрузка клиенту
2026-09-01;GLS-10;Шнур стеклянный 10мм;Приход;70;Производство (плетение)
2026-09-01;GLS-8;Шнур стеклянный 8мм;Продажа;-47;Отгрузка клиенту
2026-09-01;GLS-8;Шнур стеклянный 8мм;Приход;85;Производство (плетение)
2026-09-01;GLS-6;Шнур стеклянный 6мм;Продажа;-73;Отгрузка клиенту
2026-09-01;GLS-6;Шнур стеклянный 6мм;Приход;105;Производство (плетение)
2026-09-01;GLS-4;Шнур стеклянный 4мм;Приход;127;Производство (плетение)
2026-09-01;BAS-12;Шнур базальтовый 12мм;Продажа;-38;Отгрузка клиенту
2026-09-01;BAS-12;Шнур базальтовый 12мм;Приход;80;Производство (плетение)
2026-09-01;BAS-10;Шнур базальтовый 10мм (сердечник);Продажа;-69;Отгрузка клиенту
2026-09-01;BAS-10;Шнур базальтовый 10мм (сердечник);Приход;91;Производство (плетение)
2026-09-01;BAS-8;Шнур базальтовый 8мм (сердечник);Продажа;-103;Отгрузка клиенту
2026-09-01;BAS-8;Шнур базальтовый 8мм (сердечник);Приход;121;Производство (плетение)
2026-09-01;BAS-6;Шнур базальтовый 6мм (до 500°C);Приход;135;Производство (плетение)
2026-09-01;SIL-18;Шнур кремнеземный 18мм;Приход;27;Производство (плетение)
2026-09-01;SIL-16;Шнур кремнеземный 16мм;Продажа;-28;Отгрузка клиенту
2026-09-01;SIL-16;Шнур кремнеземный 16мм;Приход;51;Производство (плетение)
2026-09-01;SIL-14;Шнур кремнеземный 14мм;Продажа;-32;Отгрузка клиенту
2026-09-01;SIL-14;Шнур кремнеземный 14мм;Приход;69;Производство (плетение)
2026-09-01;SIL-12;Шнур кремнеземный 12мм;Продажа;-54;Отгрузка клиенту
2026-09-01;SIL-12;Шнур кремнеземный 12мм;Приход;80;Производство (плетение)
2026-09-01;SIL-10;Шнур кремнеземный 10мм;Продажа;-72;Отгрузка клиенту
2026-09-01;SIL-10;Шнур кремнеземный 10мм;Приход;112;Производство (плетение)
2026-09-01;SIL-8;Шнур кремнеземный 8мм;Продажа;-139;Отгрузка клиенту
2026-09-01;SIL-8;Шнур кремнеземный 8мм;Приход;137;Производство (плетение)
2026-09-01;SIL-6;Шнур кремнеземный 6мм;Продажа;-151;Отгрузка клиенту
2026-09-01;SIL-6;Шнур кремнеземный 6мм;Приход;135;Производство (плетение)
2026-09-01;SIL-4;Шнур кремнеземный 4мм;Продажа;-172;Отгрузка клиенту
2026-09-01;SIL-4;Шнур кремнеземный 4мм;Приход;139;Производство (плетение)
2026-09-01;PE-10;Канат полиэтиленовый 10мм;Продажа;-123;Отгрузка клиенту
2026-09-01;PE-10;Канат полиэтиленовый 10мм;Приход;179;Производство (плетение)
2026-09-01;PE-8;Канат полиэтиленовый 8мм;Приход;297;Производство (плетение)
2026-09-01;PE-6;Канат полиэтиленовый 6мм;Продажа;-358;Отгрузка клиенту
2026-09-01;PE-6;Канат полиэтиленовый 6мм;Приход;319;Производство (плетение)
2026-09-01;PP-40;Канат ПП 40мм (48-прядный);Продажа;-24;Отгрузка клиенту
2026-09-01;PP-40;Канат ПП 40мм (48-прядный);Приход;21;Производство (плетение)
2026-09-01;PP-32;Канат ПП 32мм (48-прядный);Приход;39;Производство (плетение)
2026-09-01;PP-24;Канат ПП 24мм (48-прядный);Продажа;-65;Отгрузка клиенту
2026-09-01;PP-24;Канат ПП 24мм (48-прядный);Приход;94;Производство (плетение)
2026-09-01;PP-20;Канат ПП 20мм (32-прядный);Продажа;-79;Отгрузка клиенту
2026-09-01;PP-20;Канат ПП 20мм (32-прядный);Приход;118;Производство (плетение)
2026-09-01;PP-16;Канат ПП 16мм (24-прядный);Продажа;-192;Отгрузка клиенту
2026-09-01;PP-16;Канат ПП 16мм (24-прядный);Приход;185;Производство (плетение)
2026-09-01;PP-12;Канат ПП 12мм (16-прядный);Продажа;-177;Отгрузка клиенту
2026-09-01;PP-12;Канат ПП 12мм (16-прядный);Приход;275;Производство (плетение)
2026-09-01;PP-10;Канат ПП 10мм (12-прядный);Продажа;-342;Отгрузка клиенту
2026-09-01;PP-10;Канат ПП 10мм (12-прядный);Приход;365;Производство (плетение)
2026-09-01;PP-8;Канат ПП 8мм (8-прядный);Продажа;-401;Отгрузка клиенту
2026-09-01;PP-8;Канат ПП 8мм (8-прядный);Приход;474;Производство (плетение)
2026-09-01;PA-16;Канат полиамидный 16мм;Приход;123;Производство (плетение)
2026-09-01;PA-14;Канат полиамидный 14мм;Продажа;-162;Отгрузка клиенту
2026-09-01;PA-14;Канат полиамидный 14мм;Приход;190;Производство (плетение)
2026-09-01;PA-12;Канат полиамидный 12мм;Продажа;-111;Отгрузка клиенту
2026-09-01;PA-12;Канат полиамидный 12мм;Приход;233;Производство (плетение)
2026-09-01;PA-10;Канат полиамидный 10мм;Приход;271;Производство (плетение)
2026-09-01;PA-8;Канат полиамидный 8мм;Продажа;-197;Отгрузка клиенту
2026-09-01;PA-8;Канат полиамидный 8мм;Приход;438;Производство (плетение)
2026-09-01;PA-6;Канат полиамидный 6мм;Продажа;-496;Отгрузка клиенту
2026-09-01;PA-6;Канат полиамидный 6мм;Приход;530;Производство (плетение)
2026-09-01;PA-4;Канат полиамидный 4мм;Приход;454;Производство (плетение)
2026-09-01;LS-16;Канат низкорастяжимый 16мм;Приход;67;Производство (плетение)
2026-09-01;LS-14;Канат низкорастяжимый 14мм;Приход;99;Производство (плетение)
2026-09-01;LS-12;Канат низкорастяжимый 12мм;Продажа;-62;Отгрузка клиенту
2026-09-01;LS-12;Канат низкорастяжимый 12мм;Приход;131;Производство (плетение)
2026-09-01;LS-10;Канат низкорастяжимый 10мм;Продажа;-119;Отгрузка клиенту
2026-09-01;LS-10;Канат низкорастяжимый 10мм;Приход;157;Производство (плетение)
2026-09-01;HMPE-12;Канат HMPE 12мм;Продажа;-56;Отгрузка клиенту
2026-09-01;HMPE-12;Канат HMPE 12мм;Приход;52;Производство (плетение)
2026-09-01;HMPE-10;Канат HMPE 10мм;Продажа;-76;Отгрузка клиенту
2026-09-01;HMPE-10;Канат HMPE 10мм;Приход;75;Производство (плетение)
2026-09-01;HMPE-8;Канат HMPE 8мм;Продажа;-138;Отгрузка клиенту
2026-09-01;HMPE-8;Канат HMPE 8мм;Приход;119;Производство (плетение)
2026-09-01;HMPE-6;Канат HMPE 6мм;Продажа;-153;Отгрузка клиенту
2026-09-01;HMPE-6;Канат HMPE 6мм;Приход;196;Производство (плетение)
2026-09-01;HMPE-4;Канат HMPE 4мм;Продажа;-220;Отгрузка клиенту
2026-09-01;HMPE-4;Канат HMPE 4мм;Приход;281;Производство (плетение)
2026-09-01;HMPE-3;Канат HMPE 3мм;Продажа;-358;Отгрузка клиенту
2026-09-01;HMPE-3;Канат HMPE 3мм;Приход;407;Производство (плетение)
2026-09-01;HMPE-2;Канат HMPE 2мм;Продажа;-212;Отгрузка клиенту
2026-09-01;HMPE-2;Канат HMPE 2мм;Приход;375;Производство (плетение)
2026-09-01;ARAM-6;Шнур арамидный 6мм;Продажа;-84;Отгрузка клиенту
2026-09-01;ARAM-6;Шнур арамидный 6мм;Приход;156;Производство (плетение)
2026-09-01;ARAM-4;Шнур арамидный 4мм;Продажа;-151;Отгрузка клиенту
2026-09-01;ARAM-4;Шнур арамидный 4мм;Приход;189;Производство (плетение)
2026-09-01;REP-8;Репшнур 8мм (ПА);Продажа;-144;Отгрузка клиенту
2026-09-01;REP-8;Репшнур 8мм (ПА);Приход;209;Производство (плетение)
2026-09-01;REP-7;Репшнур 7мм (арамид);Приход;162;Производство (плетение)
2026-09-01;REP-6;Репшнур 6мм (ПА);Продажа;-401;Отгрузка клиенту
2026-09-01;REP-6;Репшнур 6мм (ПА);Приход;328;Производство (плетение)
2026-09-01;REP-4;Репшнур 4мм (ПА);Продажа;-335;Отгрузка клиенту
2026-09-01;REP-4;Репшнур 4мм (ПА);Приход;291;Производство (плетение)
2026-09-01;DYN-105;Верёвка динамическая 10.5мм;Продажа;-27;Отгрузка клиенту
2026-09-01;DYN-105;Верёвка динамическая 10.5мм;Приход;56;Производство (плетение)
2026-09-01;DYN-98;Верёвка динамическая 9.8мм;Продажа;-53;Отгрузка клиенту
2026-09-01;DYN-98;Верёвка динамическая 9.8мм;Приход;57;Производство (плетение)
2026-09-01;STAT-12;Верёвка статическая 12мм;Продажа;-46;Отгрузка клиенту
2026-09-01;STAT-12;Верёвка статическая 12мм;Приход;90;Производство (плетение)
2026-09-01;STAT-11;Верёвка статическая 11мм;Приход;108;Производство (плетение)
2026-09-01;STAT-105;Верёвка статическая 10.5мм;Продажа;-101;Отгрузка клиенту
2026-09-01;STAT-105;Верёвка статическая 10.5мм;Приход;169;Производство (плетение)
2026-09-01;STAT-10;Верёвка статическая 10мм;Продажа;-130;Отгрузка клиенту
2026-09-01;STAT-10;Верёвка статическая 10мм;Приход;213;Производство (плетение)
2026-09-01;STAT-9;Верёвка статическая 9мм (ПЭС оплётка);Приход;137;Производство (плетение)
2026-09-01;TAPE-PK;Скотч упаковочный;Расход;-27.5;Расход в производство
2026-09-01;PKG-BOX;Коробки картонные;Расход;-34.1;Расход в производство
2026-09-01;PKG-STR;Стрейч-плёнка;Расход;-14.6;Расход в производство
2026-09-01;SPOOL-L;Катушки большие (упаков. верёвки);Расход;-17.8;Расход в производство
2026-09-01;GLS-R;Ровинг стеклянный;Расход;-30.4;Расход в производство
2026-09-01;BAS-R;Ровинг базальтовый;Расход;-20.3;Расход в производство
2026-09-01;SIL-F;Волокно кремнеземное;Расход;-23.6;Расход в производство
2026-09-01;ARAM-F;Нить арамидная (Русар);Расход;-11.2;Расход в производство
2026-09-01;HMPE-F;Волокно HMPE (Dyneema SK78);Расход;-14.4;Расход в производство
2026-08-31;PACK-10;Верёвка упакованная 10мм (бухты);Продажа;-363;Отгрузка клиенту
2026-08-31;PACK-10;Верёвка упакованная 10мм (бухты);Приход;439;Производство (плетение)
2026-08-31;HORSE-10;Шнур конный спорт 10мм;Продажа;-106;Отгрузка клиенту
2026-08-31;HORSE-10;Шнур конный спорт 10мм;Приход;109;Производство (плетение)
2026-08-31;HORSE-8;Шнур конный спорт 8мм;Продажа;-94;Отгрузка клиенту
2026-08-31;HORSE-8;Шнур конный спорт 8мм;Приход;148;Производство (плетение)
2026-08-31;BANNER-4;Шнур баннерный 4мм;Продажа;-453;Отгрузка клиенту
2026-08-31;BANNER-4;Шнур баннерный 4мм;Приход;404;Производство (плетение)
2026-08-31;BANNER-3;Шнур баннерный 3мм;Продажа;-518;Отгрузка клиенту
2026-08-31;BANNER-3;Шнур баннерный 3мм;Приход;492;Производство (плетение)
2026-08-31;BAG-5;Шнур для пакетов 5мм;Приход;699;Производство (плетение)
2026-08-31;BAG-4;Шнур для пакетов 4мм;Продажа;-756;Отгрузка клиенту
2026-08-31;BAG-4;Шнур для пакетов 4мм;Приход;889;Производство (плетение)
2026-08-31;CARGO-24;Канат грузовой 24мм;Приход;61;Производство (плетение)
2026-08-31;CARGO-20;Канат грузовой 20мм;Продажа;-116;Отгрузка клиенту
